SAMPLE_SYNONYM,RUN_ID,LANE,PLEX,CGP_PASS,READPAIR_COUNT,STUDY_ID
143B,14771,2,,y,253126386,3140
201T,14628,1,,y,252562994,3140
451Lu,15295,1,,y,208691325,3140
A388,15295,2,,y,195588404,3140
A427,14628,2,,y,255436170,3140
A431,15295,3,,y,137910004,3140
A431,15367,6,,y,238641267,3140
ACN,16192,4,,y,204560285,3140
ALL-PO,15863,1,,y,242623413,3140
ARH-77,15575,8,,N,294352179,3140
ARH-77,16437,3,,y,251201886,3140
ASH-3,15550,1,,y,249163768,3140
ATN-1,15863,2,,y,242923703,3140
BALL-1,15863,3,,y,265950020,3140
BB30-HNC,15863,4,,y,240161909,3140
BB49-HNC,15863,5,,y,249362284,3140
BB65-RCC,15550,2,,y,235205883,3140
BC-1,15863,6,,y,225977362,3140
BC-3,15863,7,,y,233599278,3140
BE-13,15863,8,,y,248721562,3140
BE2-M17,15875,1,,y,213723000,3140
BICR10,15875,3,,y,227649461,3140
BICR78,15875,4,,y,227577719,3140
BONNA-12,15875,5,,y,219670002,3140
BPH-1,15875,6,,y,216800995,3140
BV-173,13617,4,,y,158420085,3140
Becker,15875,2,,y,223320596,3140
C-33-A,15875,7,,y,210467188,3140
C-4-I,15876,1,,y,205610394,3140
C2BBe1,13667,2,,y,163100540,3140
C3A,15875,8,,y,205854476,3140
CAL-39,15876,3,,y,223271291,3140
CAL-72,14628,3,,y,209416431,3140
CAL-78,16756,2,49,y,215244136,3140
CCK-81,13667,4,,y,183681784,3140
CCRF-CEM,15876,5,,y,218946682,3140
CESS,15876,6,,y,246510815,3140
CGTH-W-1,15550,3,,y,261949843,3140
CHL-1,15295,4,,y,127927880,3140
CHL-1,15367,7,,y,182305169,3140
CHP-134,15876,7,,y,235483331,3140
CHSA0011,15295,5,,y,143826850,3140
CHSA0011,15367,8,,y,245699165,3140
CHSA0108,15295,6,,y,173102346,3140
CHSA8926,15295,7,,y,205102384,3140
CL-40,14628,4,,y,233597859,3140
CML-T1,13617,5,,y,159083803,3140
COLO-205,13226,1,,y,154143971,3140
COLO-320-HSR,14628,5,,y,239577355,3140
COLO-741,16192,5,,y,233561496,3140
COLO-824,15295,8,,y,199852299,3140
COR-L303,14628,6,,y,245806191,3140
COR-L32,14628,7,,y,229201471,3140
COR-L321,14628,8,,y,246689309,3140
CP50-MEL-B,15485,1,,y,284653924,3140
CP50-MEL-B,15722,1,,y,258018856,3140
CP66-MEL,15485,2,,y,246850299,3140
CP67-MEL,15485,3,,y,274467299,3140
CP67-MEL,15722,2,,y,248438187,3140
CPC-N,14688,1,,y,183303850,3140
CRO-AP2,15876,8,,y,237834035,3140
CRO-AP3,15894,1,,y,220255030,3140
CS1,15485,4,,y,276664033,3140
CS1,15722,3,,y,220773264,3140
CTB-1,15894,2,,y,232043047,3140
CTV-1,15894,3,,y,213220531,3140
Ca-Ski,15876,4,,y,234385392,3140
Ca9-22,15876,2,,y,231676640,3140
CaR-1,13667,3,,y,171160454,3140
D-247MG,15894,4,,y,230976712,3140
D-263MG,15894,5,,y,218648930,3140
D-336MG,15894,6,,y,225194748,3140
D-392MG,15894,7,,y,237447768,3140
D-423MG,15894,8,,y,235568747,3140
D-502MG,15895,1,,y,247165242,3140
D-542MG,15895,2,,y,242036607,3140
D-566MG,15895,3,,y,244836998,3140
DG-75,15895,4,,y,235202227,3140
DIFI,13667,5,,y,191065962,3140
DJM-1,15485,5,,y,276103254,3140
DJM-1,15722,4,,y,245307163,3140
DND-41,16756,3,50,y,166394589,3140
DOK,15895,5,,y,248384098,3140
DOV13,15895,7,,y,234111452,3140
DSH1,15895,8,,y,234380023,3140
DU-145,16756,4,51,y,218463499,3140
DoTc2-4510,15895,6,,y,221282590,3140
EB-3,15908,2,,y,217767817,3140
EB2,15908,1,,y,235215271,3140
EGI-1,15908,3,,y,220083548,3140
EM-2,13617,6,,y,182574126,3140
EMC-BAC-1,14688,2,,y,236553546,3140
EMC-BAC-2,14688,3,,y,242400279,3140
ES1,15485,6,,y,272663392,3140
ES1,15722,5,,y,248509392,3140
ES3,15485,7,,y,260153604,3140
ES4,15485,8,,y,265058397,3140
ES5,15553,1,,y,229800995,3140
ES6,15553,2,,y,218828921,3140
ES7,15553,3,,y,183472561,3140
ES8,15553,4,,y,182678555,3140
ESO26,15908,5,,y,233630201,3140
ESO51,15908,6,,y,219985134,3140
ETK-1,15908,7,,y,238482822,3140
EVSA-T,15553,5,,y,205392157,3140
EW-1,15553,6,,y,213575119,3140
EW-11,15553,7,,y,231703743,3140
EW-12,15553,8,,y,266537822,3140
EW-12,15688,1,,N,269865223,3140
EW-12,15722,6,,y,262425642,3140
EW-13,15537,1,,y,262223433,3140
EW-16,15537,2,,y,244486289,3140
EW-18,15537,3,,y,248789364,3140
EW-22,15537,4,,y,241134231,3140
EW-24,15537,5,,y,243065740,3140
EW-3,15537,6,,y,287223291,3140
EW-3,15722,7,,y,255658523,3140
EW-7,15537,7,,y,265778666,3140
EoL-1-cell,15908,4,,y,199392344,3140
FLO-1,15921,1,,y,213308505,3140
Farage,15908,8,,y,192742764,3140
G-MEL,15545,1,,y,261365131,3140
GAK,15537,8,,y,269940539,3140
GCIY,16756,5,52,y,208770852,3140
GEO,15921,2,,y,230851317,3140
GI-ME-N,15921,3,,y,238225050,3140
GOTO,15921,4,,y,237903185,3140
GP5d,13667,6,,y,185239119,3140
GR-ST,15921,5,,y,262375925,3140
GT3TKB,15921,6,,y,232519553,3140
H-EMC-SS,15545,2,,y,263950302,3140
H2369,13226,2,,y,168157149,3140
H2373,13226,3,,y,162923058,3140
H2461,13226,4,,y,151867723,3140
H2591,13226,5,,y,152839083,3140
H2595,13226,6,,y,184083705,3140
